1st Road Class & No,Road Surface,Lighting Conditions,Weather Conditions,Type of Vehicle,Casualty Severity
4.0,1.0,3.0,2.0,5.0,Slight
4.0,1.0,3.0,2.0,11.0,Slight
8.0,1.0,1.0,2.0,11.0,Slight
8.0,1.0,1.0,2.0,11.0,Slight
8.0,1.0,1.0,2.0,11.0,Slight
1.0,1.0,1.0,2.0,6.0,Slight
1.0,1.0,1.0,2.0,16.0,Slight
1.0,3.0,3.0,3.0,11.0,Slight
1.0,3.0,3.0,3.0,11.0,Slight
1.0,3.0,3.0,3.0,11.0,Slight
4.0,1.0,1.0,2.0,11.0,Slight
2.0,1.0,1.0,2.0,6.0,Slight
8.0,1.0,1.0,2.0,11.0,Slight
1.0,1.0,3.0,2.0,16.0,Serious
1.0,1.0,3.0,2.0,11.0,Serious
11.0,1.0,3.0,2.0,14.0,Slight
20.0,3.0,4.0,2.0,11.0,Slight
20.0,3.0,4.0,2.0,8.0,Slight
1.0,1.0,1.0,2.0,5.0,Slight
6.0,1.0,1.0,2.0,14.0,Serious
1.0,1.0,3.0,2.0,14.0,Serious
1.0,1.0,1.0,2.0,7.0,Serious
1.0,1.0,3.0,2.0,1.0,Slight
6.0,1.0,3.0,2.0,14.0,Serious
5.0,1.0,3.0,2.0,11.0,Slight
1.0,1.0,3.0,2.0,14.0,Slight
10.0,1.0,1.0,2.0,11.0,Slight
1.0,1.0,1.0,2.0,11.0,Slight
1.0,1.0,1.0,2.0,11.0,Slight
1.0,1.0,3.0,2.0,16.0,Serious
21.0,3.0,1.0,2.0,11.0,Slight
1.0,1.0,1.0,2.0,11.0,Slight
1.0,3.0,1.0,2.0,11.0,Slight
20.0,1.0,1.0,2.0,11.0,Slight
17.0,1.0,1.0,2.0,7.0,Slight
1.0,1.0,1.0,2.0,4.0,Slight
1.0,1.0,4.0,2.0,11.0,Serious
10.0,1.0,1.0,5.0,11.0,Slight
1.0,1.0,1.0,2.0,11.0,Slight
1.0,1.0,1.0,2.0,11.0,Slight
1.0,1.0,1.0,2.0,11.0,Slight
1.0,1.0,1.0,2.0,11.0,Slight
7.0,1.0,1.0,2.0,11.0,Slight
7.0,1.0,1.0,2.0,11.0,Slight
1.0,1.0,3.0,2.0,11.0,Slight
20.0,1.0,1.0,2.0,8.0,Slight
1.0,1.0,3.0,2.0,11.0,Slight
15.0,1.0,3.0,2.0,11.0,Slight
1.0,1.0,1.0,2.0,12.0,Slight
1.0,1.0,1.0,2.0,11.0,Slight
1.0,1.0,3.0,2.0,11.0,Slight
1.0,3.0,1.0,1.0,11.0,Slight
8.0,1.0,1.0,2.0,6.0,Slight
1.0,1.0,1.0,2.0,6.0,Slight
1.0,1.0,3.0,2.0,11.0,Serious
1.0,1.0,3.0,2.0,11.0,Slight
1.0,1.0,3.0,2.0,3.0,Serious
1.0,1.0,4.0,2.0,16.0,Serious
1.0,1.0,1.0,2.0,14.0,Slight
17.0,1.0,1.0,2.0,11.0,Slight
11.0,1.0,3.0,2.0,7.0,Serious
1.0,1.0,3.0,2.0,11.0,Slight
1.0,1.0,1.0,2.0,11.0,Slight
1.0,1.0,1.0,2.0,13.0,Slight
1.0,1.0,3.0,2.0,11.0,Slight
1.0,1.0,1.0,2.0,11.0,Slight
17.0,1.0,1.0,2.0,11.0,Slight
17.0,1.0,1.0,2.0,11.0,Slight
1.0,1.0,1.0,2.0,14.0,Slight
15.0,1.0,3.0,2.0,7.0,Serious
1.0,1.0,4.0,2.0,11.0,Slight
1.0,1.0,1.0,2.0,11.0,Slight
4.0,1.0,1.0,2.0,11.0,Slight
4.0,1.0,1.0,2.0,11.0,Slight
4.0,1.0,1.0,2.0,11.0,Slight
5.0,1.0,1.0,2.0,11.0,Slight
5.0,1.0,1.0,2.0,11.0,Slight
17.0,1.0,1.0,2.0,11.0,Slight
17.0,1.0,1.0,2.0,11.0,Slight
1.0,1.0,1.0,2.0,6.0,Slight
2.0,1.0,3.0,2.0,15.0,Slight
3.0,1.0,1.0,2.0,11.0,Slight
3.0,1.0,1.0,2.0,11.0,Slight
3.0,1.0,1.0,2.0,14.0,Slight
1.0,1.0,1.0,2.0,11.0,Slight
1.0,1.0,1.0,2.0,11.0,Slight
14.0,1.0,3.0,2.0,11.0,Slight
14.0,1.0,3.0,2.0,11.0,Slight
18.0,1.0,3.0,2.0,11.0,Slight
8.0,1.0,1.0,2.0,11.0,Slight
8.0,1.0,1.0,2.0,11.0,Serious
21.0,1.0,3.0,2.0,7.0,Slight
1.0,1.0,3.0,2.0,11.0,Slight
3.0,1.0,1.0,2.0,11.0,Slight
3.0,1.0,1.0,2.0,11.0,Slight
3.0,1.0,1.0,2.0,11.0,Slight
14.0,1.0,1.0,2.0,11.0,Slight
14.0,1.0,3.0,2.0,11.0,Serious
14.0,1.0,3.0,2.0,11.0,Slight
14.0,1.0,3.0,2.0,11.0,Slight
14.0,1.0,3.0,2.0,11.0,Slight
14.0,1.0,3.0,2.0,11.0,Slight
1.0,3.0,4.0,2.0,11.0,Slight
1.0,3.0,4.0,2.0,11.0,Slight
13.0,3.0,3.0,2.0,14.0,Slight
1.0,1.0,1.0,2.0,11.0,Slight
1.0,1.0,1.0,2.0,11.0,Slight
1.0,1.0,1.0,2.0,12.0,Slight
1.0,1.0,1.0,2.0,5.0,Slight
1.0,3.0,1.0,3.0,14.0,Slight
18.0,1.0,1.0,2.0,11.0,Slight
1.0,1.0,4.0,2.0,14.0,Slight
1.0,1.0,4.0,2.0,11.0,Slight
1.0,3.0,1.0,3.0,11.0,Slight
9.0,1.0,1.0,2.0,11.0,Slight
13.0,1.0,1.0,2.0,14.0,Slight
12.0,1.0,1.0,2.0,11.0,Slight
7.0,1.0,1.0,2.0,16.0,Serious
1.0,1.0,1.0,2.0,16.0,Slight
8.0,1.0,1.0,2.0,16.0,Serious
1.0,1.0,1.0,2.0,11.0,Slight
1.0,1.0,1.0,2.0,11.0,Slight
1.0,1.0,3.0,2.0,11.0,Slight
4.0,3.0,4.0,2.0,11.0,Slight
4.0,3.0,4.0,2.0,4.0,Slight
1.0,3.0,3.0,2.0,11.0,Slight
12.0,3.0,1.0,2.0,11.0,Serious
12.0,3.0,1.0,2.0,11.0,Slight
12.0,3.0,1.0,2.0,11.0,Slight
4.0,3.0,1.0,3.0,11.0,Serious
1.0,1.0,1.0,2.0,11.0,Slight
1.0,1.0,1.0,2.0,11.0,Slight
3.0,3.0,1.0,3.0,7.0,Slight
16.0,1.0,3.0,2.0,14.0,Slight
1.0,1.0,3.0,2.0,11.0,Slight
6.0,1.0,4.0,2.0,11.0,Slight
6.0,1.0,4.0,2.0,11.0,Slight
6.0,1.0,4.0,2.0,11.0,Slight
1.0,1.0,1.0,2.0,11.0,Slight
1.0,3.0,3.0,2.0,11.0,Serious
18.0,3.0,4.0,3.0,11.0,Slight
1.0,1.0,1.0,2.0,6.0,Slight
6.0,1.0,1.0,2.0,14.0,Slight
1.0,1.0,3.0,2.0,14.0,Slight
5.0,1.0,3.0,2.0,14.0,Slight
1.0,1.0,1.0,2.0,14.0,Slight
1.0,1.0,1.0,2.0,11.0,Serious
1.0,1.0,1.0,2.0,6.0,Serious
1.0,1.0,1.0,2.0,16.0,Serious
1.0,1.0,1.0,2.0,14.0,Slight
18.0,3.0,3.0,3.0,11.0,Slight
19.0,1.0,3.0,2.0,14.0,Serious
1.0,1.0,3.0,2.0,6.0,Slight
1.0,1.0,1.0,2.0,14.0,Slight
9.0,1.0,1.0,2.0,14.0,Slight
1.0,1.0,1.0,2.0,11.0,Slight
1.0,1.0,1.0,2.0,11.0,Slight
2.0,1.0,1.0,2.0,11.0,Slight
18.0,1.0,3.0,2.0,8.0,Slight
18.0,1.0,3.0,2.0,11.0,Slight
14.0,1.0,3.0,2.0,11.0,Serious
1.0,1.0,1.0,2.0,11.0,Slight
1.0,1.0,1.0,2.0,11.0,Slight
1.0,1.0,1.0,2.0,16.0,Serious
1.0,1.0,1.0,2.0,16.0,Serious
1.0,1.0,1.0,2.0,16.0,Serious
1.0,1.0,1.0,2.0,11.0,Slight
1.0,1.0,3.0,2.0,11.0,Slight
1.0,3.0,3.0,2.0,14.0,Slight
1.0,1.0,1.0,2.0,11.0,Slight
1.0,1.0,4.0,2.0,11.0,Slight
1.0,3.0,1.0,3.0,11.0,Serious
1.0,1.0,3.0,2.0,10.0,Slight
1.0,1.0,1.0,2.0,6.0,Slight
11.0,1.0,3.0,2.0,1.0,Slight
1.0,3.0,4.0,2.0,11.0,Slight
1.0,1.0,1.0,2.0,4.0,Slight
1.0,1.0,1.0,2.0,11.0,Slight
1.0,3.0,1.0,2.0,16.0,Slight
1.0,3.0,4.0,3.0,14.0,Serious
1.0,1.0,4.0,2.0,11.0,Slight
14.0,3.0,4.0,2.0,11.0,Slight
1.0,1.0,1.0,2.0,14.0,Slight
14.0,3.0,5.0,2.0,11.0,Serious
1.0,3.0,1.0,2.0,11.0,Slight
1.0,3.0,1.0,2.0,11.0,Slight
1.0,3.0,1.0,2.0,11.0,Slight
21.0,1.0,1.0,2.0,14.0,Slight
1.0,1.0,1.0,2.0,5.0,Slight
1.0,1.0,1.0,2.0,11.0,Slight
1.0,1.0,1.0,2.0,11.0,Slight
1.0,1.0,1.0,2.0,14.0,Slight
14.0,1.0,1.0,2.0,11.0,Slight
1.0,1.0,1.0,2.0,11.0,Slight
6.0,1.0,1.0,2.0,14.0,Slight
13.0,1.0,1.0,2.0,11.0,Slight
13.0,1.0,1.0,2.0,11.0,Slight
13.0,1.0,1.0,2.0,11.0,Serious
13.0,1.0,1.0,2.0,11.0,Slight
13.0,1.0,1.0,2.0,11.0,Slight
13.0,1.0,1.0,2.0,11.0,Slight
1.0,1.0,1.0,2.0,11.0,Slight
1.0,1.0,1.0,2.0,11.0,Slight
16.0,3.0,4.0,3.0,11.0,Slight
1.0,1.0,1.0,2.0,14.0,Slight
19.0,1.0,1.0,2.0,11.0,Slight
19.0,1.0,1.0,2.0,11.0,Slight
1.0,1.0,1.0,2.0,14.0,Slight
1.0,1.0,1.0,2.0,11.0,Slight
8.0,1.0,1.0,2.0,11.0,Slight
8.0,1.0,1.0,2.0,11.0,Slight
1.0,1.0,1.0,2.0,6.0,Slight
1.0,1.0,1.0,2.0,11.0,Slight
1.0,1.0,1.0,2.0,14.0,Slight
17.0,1.0,1.0,2.0,11.0,Slight
14.0,1.0,1.0,2.0,6.0,Slight
14.0,1.0,1.0,2.0,6.0,Slight
14.0,1.0,1.0,2.0,6.0,Slight
14.0,1.0,1.0,2.0,6.0,Slight
1.0,1.0,4.0,2.0,14.0,Slight
1.0,1.0,4.0,2.0,16.0,Serious
1.0,1.0,1.0,2.0,11.0,Slight
1.0,1.0,1.0,2.0,11.0,Slight
1.0,3.0,3.0,3.0,11.0,Slight
1.0,3.0,1.0,3.0,11.0,Slight
1.0,3.0,1.0,3.0,11.0,Slight
1.0,3.0,1.0,3.0,5.0,Slight
6.0,1.0,1.0,2.0,14.0,Slight
1.0,1.0,1.0,2.0,14.0,Serious
1.0,1.0,1.0,2.0,14.0,Slight
19.0,1.0,1.0,2.0,11.0,Slight
19.0,1.0,1.0,2.0,11.0,Slight
1.0,1.0,1.0,2.0,11.0,Slight
18.0,1.0,1.0,2.0,11.0,Slight
1.0,1.0,1.0,2.0,14.0,Slight
1.0,1.0,4.0,2.0,11.0,Slight
6.0,1.0,1.0,2.0,14.0,Slight
1.0,1.0,1.0,2.0,14.0,Slight
3.0,1.0,1.0,2.0,11.0,Slight
3.0,1.0,1.0,2.0,11.0,Slight
1.0,3.0,1.0,2.0,14.0,Slight
1.0,1.0,1.0,2.0,7.0,Serious
1.0,1.0,1.0,2.0,11.0,Slight
1.0,1.0,1.0,2.0,11.0,Serious
1.0,1.0,3.0,2.0,11.0,Slight
1.0,1.0,4.0,2.0,14.0,Serious
2.0,3.0,1.0,2.0,14.0,Slight
1.0,3.0,1.0,3.0,16.0,Slight
21.0,1.0,1.0,2.0,14.0,Slight
14.0,1.0,1.0,2.0,14.0,Slight
3.0,1.0,1.0,2.0,1.0,Slight
1.0,1.0,4.0,2.0,11.0,Slight
2.0,1.0,4.0,2.0,4.0,Slight
2.0,1.0,1.0,2.0,11.0,Slight
17.0,1.0,1.0,2.0,11.0,Slight
1.0,1.0,1.0,2.0,6.0,Serious
13.0,3.0,1.0,3.0,7.0,Slight
1.0,1.0,4.0,2.0,4.0,Slight
1.0,1.0,4.0,2.0,4.0,Slight
1.0,1.0,4.0,2.0,4.0,Slight
1.0,1.0,4.0,2.0,4.0,Slight
9.0,1.0,1.0,2.0,11.0,Serious
9.0,1.0,1.0,2.0,11.0,Slight
3.0,1.0,4.0,2.0,11.0,Slight
3.0,1.0,4.0,2.0,11.0,Slight
3.0,1.0,4.0,2.0,11.0,Slight
1.0,1.0,4.0,2.0,5.0,Serious
1.0,1.0,4.0,2.0,11.0,Slight
1.0,3.0,4.0,2.0,11.0,Serious
1.0,1.0,1.0,2.0,14.0,Serious
10.0,1.0,1.0,2.0,5.0,Slight
1.0,1.0,1.0,2.0,11.0,Serious
1.0,3.0,2.0,3.0,11.0,Slight
1.0,3.0,2.0,3.0,11.0,Slight
18.0,1.0,4.0,2.0,11.0,Slight
18.0,1.0,4.0,2.0,11.0,Slight
18.0,1.0,4.0,2.0,11.0,Slight
1.0,1.0,1.0,2.0,11.0,Slight
13.0,1.0,1.0,2.0,6.0,Slight
13.0,1.0,1.0,2.0,6.0,Slight
1.0,1.0,3.0,2.0,4.0,Slight
1.0,1.0,3.0,2.0,4.0,Slight
1.0,1.0,1.0,2.0,11.0,Slight
1.0,1.0,1.0,2.0,6.0,Slight
1.0,1.0,3.0,2.0,11.0,Slight
1.0,1.0,3.0,2.0,1.0,Slight
1.0,1.0,3.0,2.0,14.0,Slight
1.0,3.0,4.0,2.0,16.0,Serious
1.0,3.0,1.0,2.0,11.0,Slight
3.0,1.0,1.0,2.0,11.0,Slight
3.0,1.0,1.0,2.0,11.0,Slight
13.0,1.0,3.0,2.0,11.0,Slight
13.0,1.0,3.0,2.0,11.0,Slight
4.0,3.0,3.0,2.0,6.0,Serious
1.0,1.0,1.0,2.0,11.0,Slight
1.0,3.0,3.0,3.0,14.0,Serious
18.0,1.0,1.0,2.0,11.0,Slight
21.0,1.0,3.0,2.0,14.0,Slight
3.0,1.0,1.0,2.0,16.0,Slight
17.0,1.0,1.0,2.0,11.0,Slight
14.0,1.0,4.0,2.0,14.0,Slight
1.0,1.0,4.0,2.0,11.0,Serious
1.0,1.0,4.0,2.0,4.0,Slight
1.0,1.0,1.0,2.0,11.0,Slight
1.0,1.0,1.0,2.0,16.0,Serious
21.0,1.0,1.0,2.0,11.0,Slight
1.0,1.0,3.0,2.0,4.0,Slight
1.0,1.0,3.0,2.0,4.0,Slight
1.0,1.0,3.0,2.0,4.0,Slight
10.0,1.0,3.0,2.0,11.0,Slight
3.0,1.0,3.0,2.0,11.0,Slight
3.0,1.0,3.0,2.0,11.0,Slight
12.0,1.0,4.0,2.0,11.0,Slight
1.0,1.0,1.0,2.0,6.0,Slight
1.0,1.0,1.0,2.0,6.0,Slight
1.0,1.0,1.0,2.0,11.0,Slight
1.0,1.0,1.0,2.0,11.0,Slight
1.0,1.0,1.0,2.0,11.0,Slight
1.0,1.0,3.0,2.0,11.0,Slight
1.0,1.0,3.0,2.0,11.0,Slight
1.0,1.0,3.0,2.0,11.0,Slight
1.0,1.0,3.0,2.0,11.0,Slight
1.0,1.0,1.0,2.0,11.0,Slight
2.0,1.0,1.0,2.0,14.0,Serious
14.0,1.0,4.0,2.0,11.0,Slight
2.0,1.0,1.0,2.0,14.0,Slight
1.0,3.0,1.0,2.0,11.0,Slight
1.0,3.0,1.0,2.0,11.0,Slight
1.0,3.0,1.0,2.0,11.0,Slight
1.0,1.0,1.0,2.0,11.0,Slight
1.0,1.0,1.0,2.0,11.0,Slight
1.0,1.0,1.0,2.0,11.0,Slight
1.0,1.0,1.0,2.0,11.0,Slight
10.0,3.0,1.0,3.0,15.0,Slight
2.0,3.0,1.0,3.0,11.0,Slight
1.0,1.0,1.0,2.0,6.0,Slight
1.0,1.0,1.0,2.0,6.0,Slight
15.0,1.0,1.0,2.0,11.0,Slight
1.0,3.0,4.0,2.0,11.0,Slight
1.0,3.0,4.0,2.0,11.0,Slight
1.0,3.0,4.0,2.0,11.0,Slight
2.0,1.0,3.0,2.0,4.0,Slight
2.0,1.0,3.0,2.0,4.0,Slight
1.0,1.0,1.0,2.0,11.0,Slight
20.0,1.0,3.0,2.0,11.0,Slight
20.0,1.0,3.0,2.0,5.0,Slight
14.0,1.0,4.0,2.0,6.0,Slight
2.0,1.0,3.0,2.0,6.0,Slight
1.0,1.0,3.0,2.0,11.0,Slight
8.0,1.0,1.0,2.0,11.0,Slight
1.0,1.0,1.0,2.0,11.0,Slight
1.0,1.0,1.0,2.0,6.0,Slight
1.0,1.0,1.0,2.0,6.0,Slight
18.0,1.0,1.0,2.0,11.0,Slight
18.0,1.0,1.0,2.0,11.0,Slight
18.0,1.0,1.0,2.0,11.0,Slight
18.0,1.0,1.0,2.0,11.0,Slight
1.0,1.0,3.0,2.0,11.0,Serious
1.0,1.0,4.0,2.0,11.0,Slight
3.0,1.0,1.0,2.0,11.0,Slight
1.0,1.0,1.0,2.0,11.0,Slight
16.0,1.0,3.0,2.0,11.0,Slight
16.0,1.0,3.0,2.0,11.0,Slight
16.0,1.0,3.0,2.0,11.0,Slight
7.0,1.0,3.0,2.0,11.0,Slight
1.0,1.0,4.0,2.0,14.0,Slight
6.0,1.0,4.0,2.0,11.0,Slight
6.0,1.0,4.0,2.0,11.0,Slight
1.0,3.0,4.0,2.0,11.0,Slight
1.0,1.0,1.0,2.0,5.0,Slight
1.0,1.0,3.0,2.0,6.0,Slight
4.0,1.0,1.0,5.0,11.0,Slight
4.0,1.0,1.0,5.0,11.0,Slight
1.0,1.0,3.0,5.0,5.0,Slight
2.0,1.0,3.0,2.0,1.0,Slight
1.0,1.0,4.0,2.0,11.0,Slight
1.0,1.0,4.0,5.0,5.0,Slight
1.0,1.0,1.0,2.0,5.0,Slight
1.0,1.0,1.0,2.0,11.0,Slight
1.0,1.0,1.0,2.0,7.0,Slight
18.0,1.0,3.0,2.0,11.0,Slight
18.0,1.0,3.0,2.0,11.0,Slight
1.0,1.0,3.0,2.0,14.0,Slight
1.0,1.0,1.0,2.0,11.0,Slight
8.0,1.0,1.0,2.0,11.0,Slight
1.0,1.0,1.0,2.0,6.0,Slight
1.0,1.0,1.0,2.0,6.0,Slight
17.0,3.0,3.0,2.0,11.0,Slight
17.0,3.0,3.0,2.0,11.0,Slight
12.0,3.0,4.0,2.0,14.0,Slight
1.0,1.0,1.0,2.0,11.0,Slight
1.0,1.0,1.0,2.0,11.0,Slight
1.0,1.0,1.0,2.0,11.0,Slight
1.0,1.0,1.0,2.0,14.0,Slight
1.0,1.0,1.0,2.0,11.0,Slight
1.0,1.0,1.0,2.0,11.0,Slight
1.0,1.0,1.0,2.0,11.0,Slight
1.0,3.0,4.0,3.0,11.0,Serious
1.0,3.0,4.0,2.0,14.0,Slight
1.0,3.0,1.0,2.0,15.0,Slight
1.0,3.0,1.0,2.0,11.0,Slight
1.0,3.0,3.0,2.0,12.0,Slight
1.0,3.0,1.0,2.0,11.0,Slight
1.0,1.0,1.0,2.0,16.0,Slight
1.0,1.0,1.0,2.0,11.0,Slight
1.0,1.0,3.0,2.0,14.0,Serious
11.0,1.0,3.0,2.0,11.0,Slight
7.0,1.0,1.0,2.0,11.0,Slight
7.0,1.0,1.0,2.0,11.0,Slight
1.0,3.0,1.0,3.0,15.0,Serious
1.0,1.0,3.0,2.0,4.0,Slight
11.0,1.0,3.0,2.0,11.0,Slight
1.0,3.0,4.0,3.0,11.0,Slight
2.0,1.0,4.0,2.0,11.0,Serious
1.0,1.0,1.0,2.0,14.0,Slight
1.0,1.0,1.0,2.0,11.0,Serious
18.0,1.0,1.0,2.0,11.0,Slight
18.0,1.0,1.0,2.0,11.0,Slight
1.0,1.0,1.0,2.0,11.0,Slight
2.0,1.0,1.0,2.0,11.0,Slight
1.0,3.0,4.0,2.0,11.0,Slight
1.0,3.0,4.0,2.0,11.0,Slight
1.0,1.0,4.0,2.0,11.0,Slight
1.0,3.0,2.0,1.0,7.0,Serious
1.0,3.0,4.0,3.0,11.0,Slight
1.0,1.0,4.0,2.0,11.0,Slight
1.0,3.0,4.0,3.0,7.0,Serious
20.0,1.0,4.0,2.0,5.0,Slight
20.0,1.0,4.0,2.0,11.0,Slight
20.0,1.0,4.0,2.0,11.0,Slight
1.0,1.0,1.0,2.0,6.0,Serious
1.0,1.0,1.0,2.0,11.0,Serious
1.0,1.0,1.0,2.0,15.0,Serious
1.0,1.0,4.0,2.0,14.0,Slight
20.0,1.0,4.0,2.0,11.0,Slight
1.0,1.0,1.0,2.0,11.0,Slight
1.0,1.0,1.0,2.0,11.0,Slight
1.0,1.0,1.0,2.0,11.0,Serious
8.0,1.0,1.0,2.0,11.0,Slight
8.0,1.0,1.0,2.0,11.0,Slight
1.0,1.0,1.0,2.0,11.0,Slight
1.0,1.0,4.0,5.0,14.0,Slight
18.0,1.0,2.0,2.0,11.0,Slight
18.0,1.0,2.0,2.0,3.0,Slight
8.0,1.0,4.0,2.0,4.0,Serious
1.0,1.0,4.0,5.0,11.0,Slight
6.0,1.0,3.0,2.0,4.0,Slight
11.0,1.0,1.0,2.0,11.0,Slight
11.0,1.0,1.0,2.0,11.0,Slight
1.0,1.0,4.0,2.0,7.0,Slight
1.0,1.0,3.0,2.0,14.0,Slight
1.0,1.0,4.0,2.0,11.0,Slight
2.0,1.0,3.0,2.0,14.0,Slight
1.0,1.0,1.0,2.0,11.0,Serious
1.0,1.0,4.0,2.0,14.0,Slight
14.0,1.0,4.0,2.0,12.0,Slight
1.0,1.0,4.0,2.0,14.0,Slight
1.0,1.0,1.0,2.0,11.0,Slight
1.0,1.0,1.0,2.0,3.0,Slight
1.0,1.0,4.0,2.0,14.0,Slight
7.0,1.0,4.0,2.0,11.0,Slight
1.0,1.0,3.0,2.0,11.0,Slight
1.0,1.0,4.0,2.0,11.0,Slight
2.0,1.0,1.0,2.0,11.0,Serious
11.0,1.0,4.0,2.0,6.0,Slight
11.0,1.0,4.0,2.0,6.0,Slight
11.0,1.0,4.0,2.0,6.0,Slight
11.0,1.0,4.0,2.0,6.0,Slight
3.0,1.0,4.0,2.0,11.0,Slight
3.0,1.0,4.0,2.0,11.0,Slight
3.0,1.0,1.0,2.0,14.0,Slight
20.0,1.0,3.0,2.0,11.0,Serious
20.0,1.0,3.0,2.0,11.0,Slight
1.0,1.0,4.0,2.0,11.0,Slight
1.0,1.0,4.0,2.0,11.0,Slight
1.0,1.0,4.0,2.0,11.0,Slight
1.0,1.0,4.0,2.0,11.0,Slight
9.0,1.0,3.0,2.0,11.0,Slight
9.0,1.0,3.0,2.0,11.0,Slight
9.0,1.0,3.0,2.0,11.0,Slight
9.0,1.0,3.0,2.0,11.0,Slight
1.0,1.0,4.0,2.0,11.0,Slight
1.0,1.0,3.0,2.0,11.0,Slight
1.0,1.0,1.0,2.0,11.0,Slight
1.0,1.0,1.0,2.0,11.0,Slight
1.0,1.0,1.0,2.0,5.0,Slight
1.0,1.0,1.0,2.0,5.0,Slight
1.0,1.0,3.0,2.0,11.0,Serious
1.0,1.0,1.0,2.0,11.0,Slight
3.0,1.0,4.0,2.0,14.0,Serious
1.0,4.0,3.0,2.0,11.0,Slight
3.0,1.0,1.0,2.0,11.0,Slight
3.0,1.0,1.0,2.0,11.0,Slight
3.0,1.0,1.0,2.0,11.0,Slight
3.0,1.0,1.0,2.0,11.0,Slight
1.0,1.0,4.0,2.0,11.0,Slight
1.0,1.0,4.0,2.0,11.0,Slight
1.0,1.0,4.0,2.0,14.0,Serious
1.0,1.0,4.0,2.0,11.0,Slight
1.0,1.0,1.0,2.0,11.0,Slight
1.0,1.0,1.0,2.0,6.0,Slight
1.0,1.0,1.0,2.0,6.0,Slight
2.0,1.0,1.0,2.0,14.0,Serious
1.0,1.0,4.0,2.0,11.0,Slight
1.0,1.0,4.0,2.0,11.0,Slight
1.0,1.0,4.0,2.0,14.0,Slight
8.0,3.0,4.0,2.0,11.0,Slight
1.0,1.0,1.0,2.0,11.0,Slight
1.0,3.0,4.0,2.0,11.0,Slight
1.0,1.0,4.0,2.0,11.0,Slight
1.0,1.0,1.0,2.0,6.0,Slight
1.0,1.0,4.0,2.0,14.0,Slight
2.0,3.0,4.0,2.0,11.0,Fatal
1.0,1.0,4.0,2.0,11.0,Slight
1.0,1.0,4.0,2.0,14.0,Slight
1.0,1.0,1.0,2.0,11.0,Slight
6.0,1.0,4.0,2.0,14.0,Slight
1.0,1.0,3.0,2.0,14.0,Slight
2.0,1.0,3.0,2.0,14.0,Slight
14.0,1.0,1.0,2.0,14.0,Serious
6.0,1.0,3.0,2.0,14.0,Slight
18.0,1.0,1.0,2.0,11.0,Slight
1.0,3.0,1.0,3.0,16.0,Serious
6.0,1.0,4.0,2.0,14.0,Slight
7.0,3.0,4.0,3.0,11.0,Slight
21.0,1.0,3.0,2.0,14.0,Serious
17.0,3.0,2.0,3.0,11.0,Slight
1.0,3.0,4.0,3.0,14.0,Slight
1.0,1.0,4.0,2.0,11.0,Slight
9.0,3.0,4.0,2.0,11.0,Slight
1.0,1.0,2.0,2.0,11.0,Slight
1.0,1.0,1.0,2.0,14.0,Serious
1.0,1.0,4.0,2.0,11.0,Slight
1.0,1.0,4.0,2.0,11.0,Slight
1.0,1.0,4.0,2.0,11.0,Slight
1.0,1.0,4.0,2.0,11.0,Slight
1.0,3.0,4.0,2.0,11.0,Slight
1.0,3.0,4.0,2.0,11.0,Slight
1.0,3.0,4.0,2.0,11.0,Slight
1.0,3.0,4.0,2.0,11.0,Slight
1.0,3.0,4.0,2.0,11.0,Slight
1.0,1.0,4.0,2.0,11.0,Slight
1.0,1.0,4.0,2.0,4.0,Slight
1.0,1.0,4.0,2.0,11.0,Serious
11.0,1.0,3.0,2.0,11.0,Slight
11.0,1.0,1.0,2.0,11.0,Slight
1.0,1.0,1.0,2.0,11.0,Slight
1.0,1.0,4.0,2.0,11.0,Slight
14.0,1.0,4.0,2.0,11.0,Slight
14.0,1.0,4.0,2.0,11.0,Slight
14.0,1.0,4.0,2.0,11.0,Serious
1.0,3.0,3.0,2.0,14.0,Slight
1.0,1.0,1.0,2.0,11.0,Slight
13.0,1.0,1.0,2.0,11.0,Slight
1.0,1.0,4.0,2.0,11.0,Slight
1.0,1.0,4.0,2.0,11.0,Slight
1.0,1.0,4.0,2.0,6.0,Slight
18.0,3.0,3.0,2.0,11.0,Slight
18.0,1.0,4.0,2.0,11.0,Slight
18.0,1.0,4.0,2.0,11.0,Slight
18.0,1.0,4.0,2.0,11.0,Slight
3.0,1.0,1.0,2.0,6.0,Serious
11.0,3.0,4.0,2.0,11.0,Slight
1.0,1.0,1.0,2.0,11.0,Serious
1.0,3.0,4.0,3.0,11.0,Slight
1.0,3.0,1.0,2.0,14.0,Slight
5.0,3.0,1.0,2.0,11.0,Slight
1.0,3.0,1.0,2.0,14.0,Serious
10.0,1.0,1.0,2.0,14.0,Slight
2.0,1.0,1.0,2.0,14.0,Slight
1.0,3.0,1.0,2.0,14.0,Serious
1.0,3.0,1.0,2.0,11.0,Slight
9.0,1.0,1.0,2.0,11.0,Slight
9.0,1.0,1.0,2.0,11.0,Slight
16.0,1.0,1.0,2.0,11.0,Slight
1.0,1.0,1.0,2.0,11.0,Slight
3.0,1.0,4.0,2.0,11.0,Slight
19.0,1.0,4.0,2.0,11.0,Slight
7.0,3.0,4.0,2.0,14.0,Slight
20.0,1.0,1.0,2.0,5.0,Slight
20.0,1.0,1.0,2.0,5.0,Slight
